stem,model_psnr,model_ssim,model_lpips,baseline_psnr,baseline_ssim,baseline_lpips
000008,16.93481206893921,0.5271888971328735,0.3897816836833954,15.996885299682617,0.512319803237915,0.47333574295043945
000015,24.962494373321533,0.4423084557056427,0.2962621748447418,21.721460819244385,0.3338158428668976,0.6573090553283691
000044,22.203185558319092,0.6289734840393066,0.39860981702804565,19.282841682434082,0.5163525938987732,0.4664653539657593
000067,24.203100204467773,0.508002758026123,0.3103688657283783,20.674443244934082,0.3923962414264679,0.5481369495391846
000071,20.502114295959473,0.33446311950683594,0.4380030930042267,18.850313425064087,0.25672197341918945,0.8177804350852966
000072,23.326423168182373,0.6445274353027344,0.27163922786712646,21.499288082122803,0.5918121337890625,0.3625403046607971
000073,23.028440475463867,0.6651738882064819,0.2990630269050598,21.585569381713867,0.6209554076194763,0.32428106665611267
000078,12.25845456123352,0.374528169631958,0.31505054235458374,11.39875054359436,0.2883646786212921,0.8889662027359009
000116,23.773579597473145,0.4801602065563202,0.41020748019218445,22.097773551940918,0.4157886505126953,0.6263535022735596
000125,19.504066705703735,0.49476104974746704,0.295299232006073,18.44435453414917,0.45401763916015625,0.43659451603889465
000147,25.342376232147217,0.668778657913208,0.4915723204612732,21.094987392425537,0.5014208555221558,0.464740514755249
000153,23.103790283203125,0.5594980716705322,0.22905944287776947,21.715221405029297,0.5043418407440186,0.35010021924972534
000161,22.756803035736084,0.6343399286270142,0.2521933913230896,19.73066806793213,0.5144951343536377,0.4124787747859955
000164,20.922458171844482,0.6201601624488831,0.31728339195251465,19.513795375823975,0.5831494331359863,0.4297277629375458
000167,24.498097896575928,0.4552232027053833,0.41009092330932617,23.200926780700684,0.39406904578208923,0.6531340479850769
000169,23.340001106262207,0.5952173471450806,0.33467182517051697,21.571898460388184,0.5494118928909302,0.44706806540489197
000186,23.08955192565918,0.6356929540634155,0.24532833695411682,17.808551788330078,0.30649375915527344,0.5004390478134155
000194,18.817464113235474,0.5892162322998047,0.19637849926948547,17.34063982963562,0.5382543206214905,0.3081795573234558
000195,26.361498832702637,0.6165525913238525,0.308256059885025,22.899577617645264,0.44695448875427246,0.5250647068023682
000197,25.653693675994873,0.6934409737586975,0.23331165313720703,22.62171983718872,0.555936336517334,0.3374037444591522
000214,23.81784677505493,0.4938773512840271,0.32675594091415405,21.38538122177124,0.443825364112854,0.48290494084358215
000233,20.718553066253662,0.4437376856803894,0.2647867500782013,18.0693519115448,0.3453267216682434,0.4848254919052124
000237,19.664868116378784,0.4908711016178131,0.4560968577861786,18.42376470565796,0.4644826054573059,0.5472168326377869
000292,21.493041515350342,0.5819610953330994,0.3000566065311432,20.307466983795166,0.5534695386886597,0.40502989292144775
000315,22.22733497619629,0.5377520322799683,0.3689349591732025,21.01520538330078,0.5063018202781677,0.455771267414093
000316,24.160339832305908,0.5378016233444214,0.31793203949928284,22.155892848968506,0.4671022891998291,0.48107045888900757
000329,17.971941232681274,0.29879799485206604,0.45261210203170776,16.251990795135498,0.2278774380683899,0.8819146156311035
